127.0.0.1 - - [25/Mar/2026 20:05:03] "HEAD /index.html HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:05:51] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:05:51] "GET /cover.jpg HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:05:51] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:05:51] "GET /avatar.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:05:51] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:05:54] "GET /network.html HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:05:54] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:05:54] "GET /network.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:07:18] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:07:18] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:07:18] "GET /cover.jpg HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:07:18] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:07:18] "GET /avatar.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:07:19] "GET /network.html HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:07:19] "GET /network.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:07:22] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:07:22] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:07:22] "GET /avatar.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:07:22] "GET /cover.jpg HTTP/1.1" 200 -
127.0.0.1 - - [25/Mar/2026 20:07:22] "GET /script.js HTTP/1.1" 200 -
